url,title,jd,benefit,requirement,ho_so,salary,so_luong,location,industry,nghanh_nghe,position
https://vieclamnhamay.vn/viec-lam/140112-shopee-express-tuyen-dung-nhan-vien-giao-hang-tai-tay-ho-ha-noi,"
NHÂN VIÊN GIAO HÀNG TẠI Hà Nội (Quận Tây Hồ)
","
- Nhận hàng từ kho giao cho khách hàng và thu tiền hàng- Giao hàng từ 1 - 2 phường/xã- Lương thưởng và chế độ hấp dẫn
 ","
- Bảo hiểm tai nạn 24/24- Cung cấp đầy đủ trang thiết bị, đồ dùng giao hàng
 ","
- Có xe gắn máy, điện thoại thông minh- Thông thạo các tuyến đường- Làm việc 6 ngày/tuần- Ứng tuyển bằng cách: Liên hệ Hotline 1900 6885
 ","
1. Sơ yếu lý lịch công chứng 2. CMND/CCCD công chứng 3. Giấy khám sức khoẻ ","
 Thỏa thuận 
","
 50 
","
Hà Nội
","
Giao thông/ Vận tải 
","
Lái xe
","
Công nhân/ Nhân viên
"
https://vieclamnhamay.vn/viec-lam/140112-shopee-express-tuyen-dung-nhan-vien-giao-hang-tai-tay-ho-ha-noi#form-apply,"
NHÂN VIÊN GIAO HÀNG TẠI Hà Nội (Quận Tây Hồ)
","
- Nhận hàng từ kho giao cho khách hàng và thu tiền hàng- Giao hàng từ 1 - 2 phường/xã- Lương thưởng và chế độ hấp dẫn
 ","
- Bảo hiểm tai nạn 24/24- Cung cấp đầy đủ trang thiết bị, đồ dùng giao hàng
 ","
- Có xe gắn máy, điện thoại thông minh- Thông thạo các tuyến đường- Làm việc 6 ngày/tuần- Ứng tuyển bằng cách: Liên hệ Hotline 1900 6885
 ","
1. Sơ yếu lý lịch công chứng 2. CMND/CCCD công chứng 3. Giấy khám sức khoẻ ","
 Thỏa thuận 
","
 50 
","
Hà Nội
","
Giao thông/ Vận tải 
","
Lái xe
","
Công nhân/ Nhân viên
"
https://vieclamnhamay.vn/viec-lam/140116-shopee-express-tuyen-dung-nhan-vien-giao-hang-tai-gia-lam-ha-noi,"
NHÂN VIÊN GIAO HÀNG TẠI Hà Nội (Huyện Gia Lâm)
","
- Nhận hàng từ kho giao cho khách hàng và thu tiền hàng- Giao hàng từ 1 - 2 phường/xã- Lương thưởng và chế độ hấp dẫn
 ","
- Bảo hiểm tai nạn 24/24- Cung cấp đầy đủ trang thiết bị, đồ dùng giao hàng
 ","
- Có xe gắn máy, điện thoại thông minh- Thông thạo các tuyến đường- Làm việc 6 ngày/tuần- Ứng tuyển bằng cách: Liên hệ Hotline 1900 6885
 ","
1. Sơ yếu lý lịch công chứng 2. CMND/CCCD công chứng 3. Giấy khám sức khoẻ ","
 Thỏa thuận 
","
 50 
","
Hà Nội
","
Giao thông/ Vận tải 
","
Lái xe
","
Công nhân/ Nhân viên
"
https://vieclamnhamay.vn/viec-lam/140116-shopee-express-tuyen-dung-nhan-vien-giao-hang-tai-gia-lam-ha-noi#form-apply,"
NHÂN VIÊN GIAO HÀNG TẠI Hà Nội (Huyện Gia Lâm)
","
- Nhận hàng từ kho giao cho khách hàng và thu tiền hàng- Giao hàng từ 1 - 2 phường/xã- Lương thưởng và chế độ hấp dẫn
 ","
- Bảo hiểm tai nạn 24/24- Cung cấp đầy đủ trang thiết bị, đồ dùng giao hàng
 ","
- Có xe gắn máy, điện thoại thông minh- Thông thạo các tuyến đường- Làm việc 6 ngày/tuần- Ứng tuyển bằng cách: Liên hệ Hotline 1900 6885
 ","
1. Sơ yếu lý lịch công chứng 2. CMND/CCCD công chứng 3. Giấy khám sức khoẻ ","
 Thỏa thuận 
","
 50 
","
Hà Nội
","
Giao thông/ Vận tải 
","
Lái xe
","
Công nhân/ Nhân viên
"
https://vieclamnhamay.vn/viec-lam/140111-shopee-express-tuyen-dung-nhan-vien-giao-hang-tai-hoan-kiem-ha-noi,"
NHÂN VIÊN GIAO HÀNG TẠI Hà Nội (Quận Hoàn Kiếm)
","
- Nhận hàng từ kho giao cho khách hàng và thu tiền hàng- Giao hàng từ 1 - 2 phường/xã- Lương thưởng và chế độ hấp dẫn
 ","
- Bảo hiểm tai nạn 24/24- Cung cấp đầy đủ trang thiết bị, đồ dùng giao hàng
 ","
- Có xe gắn máy, điện thoại thông minh- Thông thạo các tuyến đường- Làm việc 6 ngày/tuần- Ứng tuyển bằng cách: Liên hệ Hotline 1900 6885
 ","
1. Sơ yếu lý lịch công chứng 2. CMND/CCCD công chứng 3. Giấy khám sức khoẻ ","
 Thỏa thuận 
","
 50 
","
Hà Nội
","
Giao thông/ Vận tải 
","
Lái xe
","
Công nhân/ Nhân viên
"
https://vieclamnhamay.vn/viec-lam/140111-shopee-express-tuyen-dung-nhan-vien-giao-hang-tai-hoan-kiem-ha-noi#form-apply,"
NHÂN VIÊN GIAO HÀNG TẠI Hà Nội (Quận Hoàn Kiếm)
","
- Nhận hàng từ kho giao cho khách hàng và thu tiền hàng- Giao hàng từ 1 - 2 phường/xã- Lương thưởng và chế độ hấp dẫn
 ","
- Bảo hiểm tai nạn 24/24- Cung cấp đầy đủ trang thiết bị, đồ dùng giao hàng
 ","
- Có xe gắn máy, điện thoại thông minh- Thông thạo các tuyến đường- Làm việc 6 ngày/tuần- Ứng tuyển bằng cách: Liên hệ Hotline 1900 6885
 ","
1. Sơ yếu lý lịch công chứng 2. CMND/CCCD công chứng 3. Giấy khám sức khoẻ ","
 Thỏa thuận 
","
 50 
","
Hà Nội
","
Giao thông/ Vận tải 
","
Lái xe
","
Công nhân/ Nhân viên
"
https://vieclamnhamay.vn/viec-lam/140050-shopee-express-tuyen-dung-nhan-vien-giao-hang-tai-dong-nai,"
NHÂN VIÊN GIAO HÀNG TẠI Đồng Nai
","
- Nhận hàng từ kho giao cho khách hàng và thu tiền hàng - Giao hàng từ 1 - 2 phường/xã - Lương thưởng và chế độ hấp dẫn- Khu vực có thể đăng ký làm việc: Huyện Long Thành, Huyện Trảng Bom ","
- Bảo hiểm tai nạn 24/24 - Cung cấp đầy đủ trang thiết bị, đồ dùng giao hàng ","
- Có xe gắn máy, điện thoại thông minh - Thông thạo các tuyến đường - Làm việc 6 ngày/tuần - Ứng tuyển bằng cách: Liên hệ Hotline 1900 6885 ","
1. Sơ yếu lý lịch công chứng 2. CMND/CCCD công chứng 3. Giấy khám sức khoẻ ","
 Thỏa thuận 
","
 50 
","
Đồng Nai
","
Giao thông/ Vận tải 
","
Thủ kho/ Kho vận (Logistic)
","
Công nhân/ Nhân viên
"
https://vieclamnhamay.vn/viec-lam/140050-shopee-express-tuyen-dung-nhan-vien-giao-hang-tai-dong-nai#form-apply,"
NHÂN VIÊN GIAO HÀNG TẠI Đồng Nai
","
- Nhận hàng từ kho giao cho khách hàng và thu tiền hàng - Giao hàng từ 1 - 2 phường/xã - Lương thưởng và chế độ hấp dẫn- Khu vực có thể đăng ký làm việc: Huyện Long Thành, Huyện Trảng Bom ","
- Bảo hiểm tai nạn 24/24 - Cung cấp đầy đủ trang thiết bị, đồ dùng giao hàng ","
- Có xe gắn máy, điện thoại thông minh - Thông thạo các tuyến đường - Làm việc 6 ngày/tuần - Ứng tuyển bằng cách: Liên hệ Hotline 1900 6885 ","
1. Sơ yếu lý lịch công chứng 2. CMND/CCCD công chứng 3. Giấy khám sức khoẻ ","
 Thỏa thuận 
","
 50 
","
Đồng Nai
","
Giao thông/ Vận tải 
","
Thủ kho/ Kho vận (Logistic)
","
Công nhân/ Nhân viên
"
https://vieclamnhamay.vn/viec-lam/133530-go-can-tho-nhan-vien-quay-che-bien-thuc-pham,"
Go Cần Thơ - Nhân viên quầy chế biến thực phẩm
","
-	Đón tiếp, hướng dẫn khách hàng đến tham quan mua sắm tại quầy
-	Hỗ trợ các quầy, bộ phận khác trong cửa hàng đón tiếp, phục vụ khách hàng khi được yêu cầu từ cấp trên
-	Hỗ trợ Thu ngân và phòng Dịch vụ khách hàng khi có khiếu nại của khách hàng liên quan đến sản phẩm của quầy
-	Tuân thủ các quy tắc gắn giá thường, khuyến mại, các chỉ dẫn thương mại từ bộ phận Tiếp thị tại quầy để phục vụ khách hàng tốt nhất
-	Đảm bảo lối đi của khách hàng thông thoáng trong quầy
-	Thực hiện các nhiệm vụ khác được giao theo yêu cầu công việc & theo phân công của quản lý các cấp
 ","
- Thu nhập bao gồm lương cơ bản và phụ cấp cơm trưa, phụ cấp nghề- Thưởng theo quy định của công ty- Bảo hiểm theo Luật Lao Động: Bảo hiểm Y tế, Bảo hiểm Xã hội, Bảo hiểm Thất nghiệp- Bảo hiểm Tai nạn 24/24
- Khám sức khỏe định kỳ hàng năm
- 15 ngày phép năm, 1.5 ngày nghỉ ca/tuần
- Ưu đãi mua sắm tại hệ thống siêu thị Big C/Go! Việt Nam
- Được đào tạo trong môi trường chuyên nghiệp và định hướng phát triển lên những vị trí cao hơn ","
-	Học vấn: THPT/Trung cấp/Cao Đẳng
-	 Ưu tiên có kinh nghiệm trong ngành siêu thị 
-	Thái độ: Chăm chỉ, cẩn thận, nhanh nhẹn, sáng tạo, nghiêm túc trong công việc, sẵn sàng làm việc với khách hàng, trung thực, đạo đức tốt
-	Ưu tiên nam
 ","
- "" Nộp hồ sơ tại đây (miễn phí) "" tại website Tuyencongnhan.vn- Gửi hồ sơ qua email: uyen.to.han@vn.centralretail.com ghi rõ tên vị trí ứng tuyển- Hoặc nộp hồ sơ trực tiếp tại Phòng Dịch vụ khách hàng siêu thị Go Cần ThơLô số 1, KDC Hưng Phú 1, P. Hưng Phú, Q. Cái Răng, TP Cần ThơĐT: 02923 737575
 ","
 Thỏa thuận 
","
 5 
","
Cần Thơ
","
Thực phẩm/ Đồ uống
","
Công nhân/ Nhân viên 
","
Công nhân/ Nhân viên
"
https://vieclamnhamay.vn/viec-lam/133530-go-can-tho-nhan-vien-quay-che-bien-thuc-pham#form-apply,"
Go Cần Thơ - Nhân viên quầy chế biến thực phẩm
","
-	Đón tiếp, hướng dẫn khách hàng đến tham quan mua sắm tại quầy
-	Hỗ trợ các quầy, bộ phận khác trong cửa hàng đón tiếp, phục vụ khách hàng khi được yêu cầu từ cấp trên
-	Hỗ trợ Thu ngân và phòng Dịch vụ khách hàng khi có khiếu nại của khách hàng liên quan đến sản phẩm của quầy
-	Tuân thủ các quy tắc gắn giá thường, khuyến mại, các chỉ dẫn thương mại từ bộ phận Tiếp thị tại quầy để phục vụ khách hàng tốt nhất
-	Đảm bảo lối đi của khách hàng thông thoáng trong quầy
-	Thực hiện các nhiệm vụ khác được giao theo yêu cầu công việc & theo phân công của quản lý các cấp
 ","
- Thu nhập bao gồm lương cơ bản và phụ cấp cơm trưa, phụ cấp nghề- Thưởng theo quy định của công ty- Bảo hiểm theo Luật Lao Động: Bảo hiểm Y tế, Bảo hiểm Xã hội, Bảo hiểm Thất nghiệp- Bảo hiểm Tai nạn 24/24
- Khám sức khỏe định kỳ hàng năm
- 15 ngày phép năm, 1.5 ngày nghỉ ca/tuần
- Ưu đãi mua sắm tại hệ thống siêu thị Big C/Go! Việt Nam
- Được đào tạo trong môi trường chuyên nghiệp và định hướng phát triển lên những vị trí cao hơn ","
-	Học vấn: THPT/Trung cấp/Cao Đẳng
-	 Ưu tiên có kinh nghiệm trong ngành siêu thị 
-	Thái độ: Chăm chỉ, cẩn thận, nhanh nhẹn, sáng tạo, nghiêm túc trong công việc, sẵn sàng làm việc với khách hàng, trung thực, đạo đức tốt
-	Ưu tiên nam
 ","
- "" Nộp hồ sơ tại đây (miễn phí) "" tại website Tuyencongnhan.vn- Gửi hồ sơ qua email: uyen.to.han@vn.centralretail.com ghi rõ tên vị trí ứng tuyển- Hoặc nộp hồ sơ trực tiếp tại Phòng Dịch vụ khách hàng siêu thị Go Cần ThơLô số 1, KDC Hưng Phú 1, P. Hưng Phú, Q. Cái Răng, TP Cần ThơĐT: 02923 737575
 ","
 Thỏa thuận 
","
 5 
","
Cần Thơ
","
Thực phẩm/ Đồ uống
","
Công nhân/ Nhân viên 
","
Công nhân/ Nhân viên
"
